"Source Title";"Scopus Source ID";"MCQ";"p_issn";"e_issn";"Top 10%";"10% - 35%";"35% - 60%";"60% - 80%";"Bottom 20%"
"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali";21100199540;0,136363636363636;"03650359";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Abhandlungen aus dem Mathematischen Seminar der Universitat Hamburg";27488;0,526315789473684;"00255858";;"NO Top 10%";5;1;0;"NO Bottom 20%"
"Acta Mathematica";24527;3,98461538461538;"00015962";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Acta Mathematica Hungarica";24529;0,462121212121212;"02365294";;"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Acta Mathematica Scientia";24531;0,480499219968799;"02529602";;"NO Top 10%";15;1;0;"NO Bottom 20%"
"Acta Mathematica Sinica, English Series";24533;0,40922619047619;"14398516";;"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Acta Mathematica Universitatis Comenianae";76019;0,129496402877698;"08629544";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Acta Mathematica Vietnamica";21100199843;0,384615384615385;"02514184";;"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Acta Scientiarum Mathematicarum";19700180901;0,451456310679612;"00016969";;"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Advanced Studies in Contemporary Mathematics (Kyungshang)";10600153363;0,285714285714286;"12293067";;"NO Top 10%";"NO 10% - 35%";4;1;0
"Advances in Applied Mathematics";24556;0,778481012658228;"01968858";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Advances in Geometry";24569;0,51980198019802;"1615715X";;"NO Top 10%";5;1;0;"NO Bottom 20%"
"Advances in Mathematics";24570;1,65162644281217;"00018708";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Advances in Pure and Applied Mathematics";21100199335;0,232142857142857;"18671152";;"NO Top 10%";"NO 10% - 35%";24;1;0
"Advances in Theoretical and Mathematical Physics";9500154114;1,06666666666667;"10950761";;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Aequationes Mathematicae";24573;0,455263157894737;"00019054";;"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Afrika Matematika";21100228566;0,142300194931774;"10129405";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Algebra and Discrete Mathematics";21100206241;0,179824561403509;"17263255";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Algebra and Number Theory";19700175257;1,21511627906977;"19370652";;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Algebraic Geometry";21100857408;1,43939393939394;"23131691";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Algebraic and Geometric Topology";19500157492;0,889464594127806;"14722747";;4;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Algebras and Representation Theory";24620;0,627968337730871;"1386923X";;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"American Journal of Mathematics";24654;1,68831168831169;"00029327";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"American Mathematical Monthly";24656;0,233024691358025;"00029890";;"NO Top 10%";"NO 10% - 35%";12;1;0
"Analele Stiintifice ale Universitatii Al I Cuza din Iasi - Matematica";19700175303;0,100401606425703;"12218421";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Analele Stiintifice ale Universitatii Ovidius Constanta, Seria Matematica";19700175586;0,225563909774436;"12241784";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";1;0
"Annales Polonici Mathematici";20900195109;0,397260273972603;"00662216";;"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Annales Scientifiques de l'Ecole Normale Superieure";25959;2,22543352601156;"00129593";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Annales de l'Institut Fourier";23199;0,969849246231156;"03730956";;3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
