"Source Title";"Scopus Source ID";"SJR";"p_issn";"e_issn";"Top 10%";"10% - 35%";"35% - 60%";"60% - 80%";"Bottom 20%"
"4OR";145295;0,779;"16194500";"16142411";"NO Top 10%";9;2;0;"NO Bottom 20%"
"AKCE International Journal of Graphs and Combinatorics";19900193225;0,232;"09728600";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";7;0
"Acta Cybernetica";13024;0,164;"0324721X";0;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";34;0
"Advances in Operations Research";19900191855;0,194;"16879147";"16879155";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";12;0
"Advances in Production Engineering And Management";21100386518;0,622;"18546250";"18556531";"NO Top 10%";"NO 10% - 35%";4;0;"NO Bottom 20%"
"Algorithmica";23087;0,565;"01784617";"14320541";"NO Top 10%";"NO 10% - 35%";6;1;0
"Annales de l'Institut Henri Poincare (D) Combinatorics, Physics and their Interactions";21100829708;0,75;"23085827";"23085835";"NO Top 10%";11;2;0;"NO Bottom 20%"
"Annals of Combinatorics";24712;0,608;"02180006";"02193094";"NO Top 10%";"NO 10% - 35%";5;0;"NO Bottom 20%"
"Annals of Operations Research";23090;1,117;"02545330";"15729338";33;2;0;"NO 60% - 80%";"NO Bottom 20%"
"Applicable Analysis";25142;0,653;"00036811";"10267360";"NO Top 10%";"NO 10% - 35%";3;0;"NO Bottom 20%"
"Applicable Analysis and Discrete Mathematics";19700182746;0,789;"14528630";0;"NO Top 10%";8;2;0;"NO Bottom 20%"
"Applications of Mathematics";25145;0,328;"08627940";"15729109";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Applied Mathematics";5600157614;0,281;"10051031";"19930445";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";5;0
"Applied Mathematics and Computation";25170;0,969;"00963003";"18735649";"NO Top 10%";3;0;"NO 60% - 80%";"NO Bottom 20%"
"Applied Mathematics and Optimization";25179;0,867;"00954616";"14320606";"NO Top 10%";5;1;0;"NO Bottom 20%"
